run_name,arch_name,loss_name,channels,strides,lr,weight_decay,batch_size,epochs,best_epoch,loss_train,loss_val,loss_test,dice_train,dice_val,dice_test,hd95_train,hd95_val,hd95_test,train_time
wide_DiceLoss_lr0.001_wd0.0001_bs2,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,0.0001,2,50,47,0.20818677581846715,0.23517384827136995,0.2266998755931854,0.7288637757301331,0.6909144520759583,0.7022555470466614,6.250792503356934,13.368087768554688,18.542057037353516,12.331602378686268
wide_DiceLoss_lr0.002_wd0.0_bs2,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.002,0.0,2,50,50,0.17605821546167136,0.23200784325599672,0.22130995571613313,0.745296061038971,0.6861661076545715,0.6978338360786438,7.552027225494385,14.784022331237793,17.960811614990234,12.302318354447683
wide_DiceLoss_lr0.002_wd1e-05_bs2,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.002,1e-05,2,50,44,0.19014172554016112,0.22437616288661957,0.20755357623100282,0.7379228472709656,0.6980051398277283,0.7195385098457336,9.344159126281738,14.15623664855957,10.232656478881836,12.44103217124939
wide_DiceLoss_lr0.002_wd0.0001_bs2,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.002,0.0001,2,50,46,0.2152055896818638,0.2348694086074829,0.22487441301345826,0.7175536155700684,0.6930859684944153,0.7024762034416199,10.393717765808105,19.0882511138916,18.914073944091797,12.349748520056409
wider1_DiceLoss_lr0.001_wd0.0_bs2,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.001,0.0,2,50,46,0.18179725389927626,0.21634897366166114,0.2030100095272064,0.7574383616447449,0.7101810574531555,0.7257470488548279,5.993716716766357,9.62597370147705,12.04806137084961,14.309731924533844
wider1_DiceLoss_lr0.001_wd1e-05_bs2,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.001,1e-05,2,50,50,0.17746057603508233,0.21329947859048842,0.1960412633419037,0.774544894695282,0.7153303623199463,0.7362658977508545,6.048012733459473,14.082216262817383,9.563343048095703,14.134675208727518
wider1_DiceLoss_lr0.001_wd0.0001_bs2,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.001,0.0001,2,50,49,0.2167580209672451,0.22439054995775223,0.20267992198467255,0.7264546751976013,0.7085158824920654,0.733356773853302,9.674546241760254,12.9546480178833,12.977222442626953,14.301774656772611
wider1_DiceLoss_lr0.002_wd0.0_bs2,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.002,0.0,2,50,48,0.19625768568366767,0.2381685495376587,0.21733266294002532,0.7477483153343201,0.6778753995895386,0.7025489211082458,4.703402042388916,15.049145698547363,13.456585884094238,14.319107520580292
wider1_DiceLoss_lr0.002_wd1e-05_bs2,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.002,1e-05,2,50,46,0.18157688584178686,0.2143483892083168,0.2055361485481262,0.7529930472373962,0.7130501866340637,0.7250156402587891,4.915140628814697,14.433286666870117,11.617888450622559,14.247570955753329
wider1_DiceLoss_lr0.002_wd0.0001_bs2,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.002,0.0001,2,50,50,0.21714565344154835,0.23792293816804885,0.2268434429168701,0.6859742999076843,0.690133273601532,0.6971744298934937,15.887789726257324,14.88390827178955,19.332311630249023,14.378645964463551
wider2_DiceLoss_lr0.001_wd0.0_bs2,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,0.0,2,50,50,0.15863682366907597,0.20912410989403724,0.18897407233715058,0.7801226377487183,0.7110177278518677,0.7443620562553406,5.355821132659912,8.927388191223145,7.669520854949951,19.60858913262685
wider2_DiceLoss_lr0.001_wd1e-05_bs2,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,1e-05,2,50,50,0.20167833864688872,0.22752250134944915,0.21789734542369843,0.7362732291221619,0.6980805397033691,0.7091562151908875,7.819186210632324,11.725236892700195,11.238347053527832,19.78208098014196
wider2_DiceLoss_lr0.001_wd0.0001_bs2,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,0.0001,2,50,50,0.19981302618980407,0.22259682565927505,0.20682213544845582,0.7431607246398926,0.7114863991737366,0.7266855835914612,7.042388916015625,12.8692045211792,12.638035774230957,19.725491376717887
wider2_DiceLoss_lr0.002_wd0.0_bs2,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.002,0.0,2,50,49,0.18856180794537067,0.22808522135019302,0.21796375036239624,0.7713151574134827,0.6922472715377808,0.7033595442771912,4.8070454597473145,15.73828125,15.366469383239746,19.608914291858675
wider2_DiceLoss_lr0.002_wd1e-05_bs2,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.002,1e-05,2,50,50,0.21962472498416902,0.23859259635210037,0.23470719695091247,0.6953657865524292,0.6829713582992554,0.6866999864578247,9.135289192199707,13.241986274719238,9.484846115112305,19.740663929780325
wider2_DiceLoss_lr0.002_wd0.0001_bs2,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.002,0.0001,2,50,49,0.22925788685679435,0.2389291375875473,0.23195910811424256,0.6771340370178223,0.6896414160728455,0.6953886151313782,14.870144844055176,14.287542343139648,17.833837509155273,19.344383291403453
