run_name,arch_name,loss_name,channels,strides,lr,weight_decay,batch_size,dice_test,dice_train,dice_val,hd95_test,hd95_train,hd95_val,loss_test,loss_train,loss_val
shallow_DiceLoss_lr0.0005_wd0.0001_bs1,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0001,1,0.46078646183013916,0.48090630769729614,0.45960602164268494,38.12981033325195,35.9090690612793,38.742225646972656,0.4279834920167923,0.4134515505284071,0.4281069219112396
shallow_DiceLoss_lr0.0005_wd0.0001_bs2,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0001,2,0.36518874764442444,0.3878614008426666,0.3539826571941376,49.21162033081055,48.11530303955078,49.98479080200195,0.48744969367980956,0.47050113081932066,0.4877047210931778
shallow_DiceLoss_lr0.0005_wd0.0001_bs5,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0001,5,0.30418145656585693,0.3211442232131958,0.31656551361083984,43.47152328491211,36.326148986816406,45.78348922729492,0.5630374312400818,0.561203932389617,0.5570999383926392
shallow_DiceLoss_lr0.0005_wd0.0_bs1,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0,1,0.4748789072036743,0.49614930152893066,0.47495609521865845,42.444828033447266,37.25138854980469,42.906837463378906,0.41692806005477906,0.4008387064561248,0.4164333283901215
shallow_DiceLoss_lr0.0005_wd0.0_bs2,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0,2,0.4672921895980835,0.45228496193885803,0.45536622405052185,35.31613540649414,42.85799026489258,44.44532012939453,0.4182275176048279,0.4277879510074854,0.42012341916561124
shallow_DiceLoss_lr0.0005_wd0.0_bs5,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0,5,0.31219372153282166,0.330832302570343,0.3310631215572357,33.324134826660156,28.5247859954834,30.603567123413086,0.554428443312645,0.5562308114022017,0.5455608293414116
shallow_DiceLoss_lr0.0005_wd1e-05_bs1,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,1e-05,1,0.47655487060546875,0.509408175945282,0.4668757915496826,36.53401184082031,36.223594665527344,41.31376266479492,0.4175365450978279,0.394774348847568,0.4240231096744537
shallow_DiceLoss_lr0.0005_wd1e-05_bs2,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,1e-05,2,0.3822111189365387,0.40502476692199707,0.35946184396743774,39.224815368652344,41.41526794433594,46.416282653808594,0.4730266934633255,0.4601983670145273,0.483736015856266
shallow_DiceLoss_lr0.0005_wd1e-05_bs5,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,1e-05,5,0.21208995580673218,0.2322417050600052,0.23628482222557068,39.98766326904297,38.86445236206055,39.411190032958984,0.5907916247844696,0.5867942236363888,0.5778147429227829
shallow_DiceLoss_lr0.001_wd0.0001_bs1,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0001,1,0.45316025614738464,0.4889213442802429,0.45328980684280396,38.6396598815918,38.569190979003906,39.06421661376953,0.42472405046224593,0.3978992193005979,0.42419651821255683
shallow_DiceLoss_lr0.001_wd0.0001_bs2,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0001,2,0.4779703915119171,0.49936264753341675,0.49420762062072754,43.90202331542969,41.90328598022461,46.84139633178711,0.4084841066598892,0.3964705538004637,0.4004536151885986
shallow_DiceLoss_lr0.001_wd0.0001_bs5,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0001,5,0.35834449529647827,0.36631277203559875,0.36113399267196655,54.46140670776367,49.7882080078125,55.43809127807617,0.4975682020187378,0.48819155991077423,0.4876399263739586
shallow_DiceLoss_lr0.001_wd0.0_bs1,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0,1,0.5189018845558167,0.5364619493484497,0.5092875361442566,36.073692321777344,35.3997917175293,31.205810546875,0.3733062666654587,0.35902120135724547,0.3790300264954567
shallow_DiceLoss_lr0.001_wd0.0_bs2,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0,2,0.5201413035392761,0.5063582062721252,0.5098949670791626,31.649473190307617,33.301177978515625,35.862953186035156,0.374995619058609,0.38419939409941434,0.3786391943693161
shallow_DiceLoss_lr0.001_wd0.0_bs5,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0,5,0.33160990476608276,0.3363172113895416,0.33281970024108887,57.347312927246094,54.75786590576172,56.0048942565918,0.5098232701420784,0.506417223252356,0.5027582719922066
shallow_DiceLoss_lr0.001_wd1e-05_bs1,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,1e-05,1,0.5370765924453735,0.5545071363449097,0.5402529835700989,33.240901947021484,35.753944396972656,36.223670959472656,0.35959515333175657,0.34708239771425725,0.35709336660802365
shallow_DiceLoss_lr0.001_wd1e-05_bs2,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,1e-05,2,0.5370005965232849,0.5280281901359558,0.53471839427948,30.208524703979492,28.493305206298828,33.2887077331543,0.3607079327106476,0.3657974436879158,0.3613417662680149
shallow_DiceLoss_lr0.001_wd1e-05_bs5,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,1e-05,5,0.398275226354599,0.4052119851112366,0.3907540440559387,45.792423248291016,47.773006439208984,48.758155822753906,0.46283395439386366,0.46011828538030386,0.4647654630243778
small_DiceCELoss_lr0.0001_wd0.0001_bs1,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0001,0.0001,1,0.09992899745702744,0.10689854621887207,0.09116466343402863,39.41518020629883,46.296512603759766,37.50092315673828,0.8099990361928939,0.8209197878837585,0.8168785825371743
small_DiceCELoss_lr0.0001_wd0.0001_bs2,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0001,0.0001,2,0.030326971784234047,0.0377928800880909,0.02373555116355419,41.0546875,43.56829833984375,41.18931198120117,0.9967030704021453,1.0131512098014355,1.0024663418531419
small_DiceCELoss_lr0.0001_wd0.0001_bs5,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0001,0.0001,5,0.14691497385501862,0.14491775631904602,0.13311228156089783,64.86572265625,68.96629333496094,64.2735595703125,1.45150927901268,1.4743122644722462,1.4562112987041473
small_DiceCELoss_lr0.0001_wd0.0_bs1,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0001,0.0,1,0.10941822826862335,0.11944892257452011,0.09102211892604828,35.459014892578125,40.607322692871094,33.19169235229492,0.8253787225484848,0.8324209544807673,0.8315368339419364
